model,run,tag,step,value
LSTM,lstm-v2,train/loss,42900,2.9221348762512207
LSTM,lstm-v2,train/loss,43000,2.9794368743896484
LSTM,lstm-v2,train/loss,43100,2.7757339477539062
LSTM,lstm-v2,train/loss,43200,2.8617148399353027
LSTM,lstm-v2,train/loss,43300,2.722843647003174
LSTM,lstm-v2,train/loss,43400,2.812779188156128
LSTM,lstm-v2,train/loss,43500,2.847188949584961
LSTM,lstm-v2,train/loss,43600,2.8390402793884277
LSTM,lstm-v2,train/loss,43700,2.7150025367736816
LSTM,lstm-v2,train/loss,43800,3.0185601711273193
LSTM,lstm-v2,train/loss,43900,2.777902603149414
LSTM,lstm-v2,train/loss,44000,2.8579602241516113
LSTM,lstm-v2,train/loss,44100,2.9067769050598145
LSTM,lstm-v2,train/loss,44200,2.8223233222961426
LSTM,lstm-v2,train/loss,44300,2.936221122741699
LSTM,lstm-v2,train/loss,44400,2.8781402111053467
LSTM,lstm-v2,train/loss,44500,2.8287837505340576
LSTM,lstm-v2,train/loss,44600,2.7680716514587402
LSTM,lstm-v2,train/loss,44700,2.892642021179199
LSTM,lstm-v2,train/loss,44800,2.8043479919433594
LSTM,lstm-v2,train/loss,44900,2.9580249786376953
LSTM,lstm-v2,train/loss,45000,3.0482637882232666
LSTM,lstm-v2,train/loss,45100,2.8496341705322266
LSTM,lstm-v2,train/loss,45200,2.9280271530151367
LSTM,lstm-v2,train/loss,45300,2.619976282119751
LSTM,lstm-v2,train/loss,45400,2.798923969268799
LSTM,lstm-v2,train/loss,45500,2.7425413131713867
LSTM,lstm-v2,train/loss,45600,2.8849048614501953
LSTM,lstm-v2,train/loss,45700,2.6348087787628174
LSTM,lstm-v2,train/loss,45800,2.912672519683838
LSTM,lstm-v2,train/loss,45900,2.8790245056152344
LSTM,lstm-v2,train/loss,46000,2.9141287803649902
LSTM,lstm-v2,train/loss,46100,2.8301591873168945
LSTM,lstm-v2,train/loss,46200,2.9514856338500977
LSTM,lstm-v2,train/loss,46300,2.8527042865753174
LSTM,lstm-v2,train/loss,46400,2.8296689987182617
LSTM,lstm-v2,train/loss,46500,3.0586986541748047
LSTM,lstm-v2,train/loss,46600,2.770315647125244
LSTM,lstm-v2,train/loss,46700,2.8488478660583496
LSTM,lstm-v2,train/loss,46800,2.798734664916992
LSTM,lstm-v2,train/loss,46900,2.9781713485717773
LSTM,lstm-v2,train/loss,47000,2.779151439666748
LSTM,lstm-v2,train/loss,47100,2.7578938007354736
LSTM,lstm-v2,train/loss,47200,2.812350273132324
LSTM,lstm-v2,train/loss,47300,2.813887119293213
LSTM,lstm-v2,train/loss,47400,2.927164077758789
LSTM,lstm-v2,train/loss,47500,2.8096635341644287
LSTM,lstm-v2,train/loss,47600,3.0014429092407227
LSTM,lstm-v2,train/loss,47700,2.842947006225586
LSTM,lstm-v2,train/loss,47800,2.7231268882751465
LSTM,lstm-v2,train/loss,47900,2.849721670150757
LSTM,lstm-v2,train/loss,48000,2.8546953201293945
LSTM,lstm-v2,train/loss,48100,2.8299477100372314
LSTM,lstm-v2,train/loss,48200,2.9206438064575195
LSTM,lstm-v2,train/loss,48300,2.891829013824463
LSTM,lstm-v2,train/loss,48400,2.8508358001708984
LSTM,lstm-v2,train/loss,48500,2.8423056602478027
LSTM,lstm-v2,train/loss,48600,2.8398385047912598
LSTM,lstm-v2,train/loss,48700,2.7479147911071777
LSTM,lstm-v2,train/loss,48800,2.9882235527038574
